Disease1,allergic disorder,allergic rhinitis,allergy,alzheimers disease,anemia,antepartum eclampsia,appendicitis,asthma,atopic dermatitis,atrial fibrillation,biventricular implantable cardioverter,biventricular implantable cardioverter defibrillator,"biventricular implantable cardioverter defibrillator, catheter ablation of
tissue of heart, vaccination for diphtheria","biventricular implantable cardioverter defibrillator, catheter ablation of tissue of heart
planos de cuidado: self-care interventions",brain damage,breast (disorder,breasts,bronchitis,cancer,carcinoma,carcinoma of lung (disorder,cardiac arrest,chlamydia,chronic congestive heart failure,chronic kidney disease stage,chronic kidney disease stage 2 (disorder,"chronic obstructive
pulmonary disease",chronic obstructive bronchitis,"chronic obstructive pulmonary
disease clinical management plan, head injury","chronic obstructive pulmonary
disease clinical management plan, physical therapy procedure
imunizações:
vacinas",chronic obstructive pulmonary disease,"chronic obstructive pulmonarydisease clinical management plan, musculoskeletal care, respiratory",chronic pain,congestive heart failure,conn,contraceptive intrauterine,coronary artery bypass,cystitis,deficit disorder,demential,depression,depression disorder,depressive disorder,dermatitis,diabetes,diabetes mellitus,"diabetes, hepatitis c",diabetic renal disease,diabetic retinopathy,diarrhea,diphtheria,disorder,edema,epilepsy,forglucose,fracture,fracture subluxation,gonorrhea,gonorrhea infection,gout,head injury,"heart
failure self management plan, inpatient care plan 
imunizações:
vacinas","heart
failure self management plan, inpatient care plan imunizações",heart failure,hepatitis b,hepatitis bsurface antigen,"human immunodeficiency
virus antigen",human immunodeficiency virus,human immunodeficiency virus antigen,hyperglycemia,hyperlipidemia,hypertension,hypertriglyceridemia,idiopathic atrophic hypothyroidism,infection,injury of anterior cruciate ligament,injury of brain,"injury of brain 
- brain damage","injury of brain 
- viral sinusitis","injury of brain 
diagnósticos definitivos",injury of brain (,injury(morphologic abnormality,intrauterine contraceptive,kidney disease,loss of consciousness,lung cancer,malignant neoplasm,malignant neoplasm of breast (disorder,malignant neoplasm of colon,malorie,metabolic syndrome,metabolic syndrome x (disorder,migraine,musculoskeletal,myocardial infarction,neoplasm,neuropathy,nickole,no loss of consciousness,non-small cell carcinoma of lung  tnm stage 1,non-small cell carcinoma of lung  tnm stage 1 (disorder,non-small cell lung cancer,nonproliferative diabetic retinopathy,obesity,obstructive pulmonary disease,occult blood,ofintrauterine contraceptive,opioid abuse,osteoporosis,otitis,overdose,pain,pelvis,"peripheral
blood smear",pharyngitis,pneumonia,polyp,polyp of colon,polyp of colon (início: 2013-08-11,preeclampsia,primary fibromyalgia syndrome,primary malignant neoplasm,primary malignant neoplasm of colon,primary osteoarthritis of the hand,prostate,prostate (disorder,pulmonary emphysema,pyelonephritis,retinopathy,rheumatoid arthritis,rupture of appendix,secondary malignant neoplasm of colon,seizure,sinusitis,sore throat,streptococcal sore throat,stroke,syphilis infection,tetanus,tooth,tract infection,traumatic,tuberculosis,type ii diabetes mellitus,"urinary
tract infection",urinary tract infection,varicella,"varicella-zoster virus antibody, skin test",viral sinusitis,whiplash injury,zoila,zoster
abortion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
acute allergic reaction,4.0,8.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,9.0,0.0,0.0,0.0
"allergic
disorder",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
allergic disorder,0.0,17.0,16.0,1.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,18.0,0.0,0.0,0.0
allergic rhinitis,0.0,0.0,20.0,0.0,7.0,1.0,1.0,17.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,31.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,5.0,15.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,12.0,0.0,2.0,10.0,13.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,26.0,0.0,47.0,3.0,0.0,8.0
allergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,6.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,15.0,1.0,0.0,0.0
alzheimers disease,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,5.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,7.0,1.0,3.0,2.0,0.0,0.0,11.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0
alzheimers disease of early onset (disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
anemia,0.0,0.0,0.0,0.0,0.0,7.0,12.0,2.0,1.0,21.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,111.0,38.0,22.0,1.0,14.0,41.0,20.0,27.0,5.0,2.0,6.0,0.0,0.0,14.0,0.0,22.0,20.0,0.0,20.0,3.0,9.0,0.0,0.0,54.0,1.0,1.0,0.0,274.0,25.0,24.0,31.0,11.0,5.0,40.0,31.0,1.0,0.0,0.0,43.0,6.0,4.0,37.0,3.0,25.0,0.0,0.0,20.0,3.0,0.0,1.0,2.0,28.0,37.0,59.0,111.0,62.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,6.0,8.0,6.0,1.0,6.0,0.0,62.0,0.0,17.0,1.0,9.0,25.0,20.0,0.0,19.0,7.0,7.0,7.0,5.0,119.0,0.0,1.0,0.0,8.0,23.0,9.0,17.0,22.0,3.0,2.0,134.0,1.0,13.0,32.0,1.0,6.0,0.0,0.0,0.0,10.0,29.0,25.0,10.0,0.0,1.0,1.0,7.0,3.0,9.0,227.0,32.0,2.0,27.0,31.0,50.0,1.0,1.0,2.0,41.0,11.0,1.0,19.0,1.0,9.0,197.0,19.0,0.0,62.0
antepartum eclampsia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,16.0,0.0,1.0,7.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,1.0,18.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,6.0,19.0,1.0,0.0,1.0
